accommodation_name,accommodation_address,accommodation_rating,City
Moama Central Motel,"45 Meninya St, Moama NSW 2731, Australia",4.4,ECHUCA
Pevensey Motor Lodge,"365 High St, Echuca VIC 3564, Australia",4.2,ECHUCA
High Street Motel,"439 High St, Echuca VIC 3564, Australia",4.2,ECHUCA
River Country Inn,"79-81 Meninya St, Moama NSW 2731, Australia",4.3,ECHUCA
Mercure Port of Echuca,"465 High St, Echuca VIC 3564, Australia",4.1,ECHUCA
Bridges on Meninya,"38 Meninya St, Moama NSW 2731, Australia",4.7,ECHUCA
Border Inn,"19/21 Meninya St, Moama NSW 2731, Australia",4.3,ECHUCA
Melaleuca Lodge,"10 Brunt Rd, Beaconsfield VIC 3807, Australia",3.6,OFFICER
Beaconsfield Lodge Motel,"3-7 Souter St, Beaconsfield VIC 3807, Australia",2.4,OFFICER
Pakenham Park Motel,"14 Toomuc Valley Rd, Pakenham VIC 3810, Australia",3.1,OFFICER
Ttekceba Retreat,"120 A'Beckett Rd, Beaconsfield Upper VIC 3808, Australia",4.2,OFFICER
Pine Grove Hotel,"45-51 Stoney Creek Rd, Beaconsfield Upper VIC 3808, Australia",4.0,OFFICER
Koo Wee Rup Motel,"132 Station St, Koo Wee Rup VIC 3981, Australia",4.2,OFFICER
Cranbourne Motor Inn,"1449 S Gippsland Hwy, Cranbourne VIC 3977, Australia",3.1,OFFICER
Nar Nar Goon Hotel,"2 Nar Nar Goon Rd, Nar Nar Goon VIC 3812, Australia",4.3,OFFICER
Mahogany Park Motel,"110 Sladen St, Cranbourne VIC 3977, Australia",3.4,OFFICER
Burnbank Estate,"64 Beaumont Rd, Berwick VIC 3806, Australia",4.3,OFFICER
Paradise Valley Hotel,"249 Belgrave-Gembrook Rd, Clematis VIC 3782, Australia",4.1,OFFICER
Yuulong Bed & Breakfast,"574 Salisbury Rd, Beaconsfield VIC 3808, Australia",5.0,OFFICER
The Reserve,"21 Reserve St, Berwick VIC 3806, Australia",5.0,OFFICER
Pakenham Caravan Park,"105 Racecourse Rd, Pakenham VIC 3810, Australia",4.0,OFFICER
Quest Narre Warren,"Princes Hwy & Verdun Drive, Narre Warren VIC 3805, Australia",4.0,OFFICER
Casey on Princes Motel,"218 Princes Hwy, Hallam VIC 3803, Australia",3.6,OFFICER
Tyneside Gatehouse,"3 Ladd Square, Emerald VIC 3782, Australia",4.5,OFFICER
The Settlement at Cranbourne,"S Gippsland Hwy & Camms Rd, Cranbourne VIC 3977, Australia",3.9,OFFICER
Aura of the Dandenongs,"1 Railway Parade, Menzies Creek VIC 3159, Australia",4.8,OFFICER
Cockatoo Springs Retreat,"10 Alexander Rd, Cockatoo VIC 3781, Australia",4.4,OFFICER
Casey on Princes Motel,"218 Princes Hwy, Hallam VIC 3803, Australia",3.6,NARRE WARREN
Quest Narre Warren,"Princes Hwy & Verdun Drive, Narre Warren VIC 3805, Australia",4.0,NARRE WARREN
Beaconsfield Lodge Motel,"3-7 Souter St, Beaconsfield VIC 3807, Australia",2.4,NARRE WARREN
Atura Hotel Dandenong,"5-17 Doveton Ave, Eumemmerring VIC 3177, Australia",4.1,NARRE WARREN
Cranbourne Motor Inn,"1449 S Gippsland Hwy, Cranbourne VIC 3977, Australia",3.1,NARRE WARREN
The Settlement at Cranbourne,"S Gippsland Hwy & Camms Rd, Cranbourne VIC 3977, Australia",3.9,NARRE WARREN
Quest Dandenong Central,"2-10 Walker St, Dandenong VIC 3175, Australia",4.2,NARRE WARREN
Burnbank Estate,"64 Beaumont Rd, Berwick VIC 3806, Australia",4.3,NARRE WARREN
Melaleuca Lodge,"10 Brunt Rd, Beaconsfield VIC 3807, Australia",3.6,NARRE WARREN
Dandenong Motel,"147 Princes Hwy, Dandenong VIC 3175, Australia",3.5,NARRE WARREN
Mahogany Park Motel,"110 Sladen St, Cranbourne VIC 3977, Australia",3.4,NARRE WARREN
Lynbrook Hotel,"550 S Gippsland Hwy, Lynbrook VIC 3975, Australia",4.1,NARRE WARREN
The Reserve,"21 Reserve St, Berwick VIC 3806, Australia",5.0,NARRE WARREN
City Edge Dandenong Apartment Hotel,"229 Thomas St, Dandenong VIC 3175, Australia",3.6,NARRE WARREN
Prince Mark Motor Inn,"4 Power Rd, Doveton VIC 3177, Australia",3.7,NARRE WARREN
Rowville International Hotel,"1233 Stud Rd, Rowville VIC 3178, Australia",4.0,NARRE WARREN
Marybrooke Manor,"10 Sherbrooke Rd, Sherbrooke VIC 3789, Australia",4.6,NARRE WARREN
Punthill Apartment Hotel Dandenong,"157-163 Lonsdale St, Dandenong VIC 3175, Australia",4.0,NARRE WARREN
Sandown Regency,"477-481 Princes Hwy, Noble Park VIC 3174, Australia",3.3,NARRE WARREN
ibis budget Dandenong,"185-193 Princes Hwy, Cnr Edgewood Rd, Dandenong VIC 3175, Australia",3.5,NARRE WARREN
Wattle Grove Motel,"65 Derby Rd, Maryborough VIC 3465, Australia",4.8,MARYBOROUGH
Highlander Haven Motel,"72 Sutton Rd, Maryborough VIC 3465, Australia",4.2,MARYBOROUGH
Bristol Hill Motor Inn,"1 High St, Maryborough VIC 3465, Australia",4.5,MARYBOROUGH
Junction Motel,"2 High St, Maryborough VIC 3465, Australia",4.8,MARYBOROUGH
Golden Country Motel & Caravan Park,"134 Park Rd, Maryborough VIC 3465, Australia",4.2,MARYBOROUGH
Carisbrook Country Retreat Motel,"85 Simson St, Carisbrook VIC 3464, Australia",4.2,MARYBOROUGH
Dunolly Golden Triangle Motel,"1846 Maryborough-Dunolly Rd, Dunolly VIC 3472, Australia",4.7,MARYBOROUGH
On The Creek,"46 Simson St, Carisbrook VIC 3464, Australia",5.0,MARYBOROUGH
Lochinver Farm Homestead & Cottages,"245 Baringhup Rd, Carisbrook VIC 3464, Australia",4.9,MARYBOROUGH
Colac Mid City Motor Inn,"289 Murray St, Colac VIC 3250, Australia",4.1,COLAC
Colac Central Hotel-Motel,"10 Murray St, Colac VIC 3250, Australia",4.0,COLAC
Otway Gate Motel,"52/56 Murray St E, East Colac VIC 3250, Australia",4.5,COLAC
Baronga Motor Inn,"35 Murray St E, Colac VIC 3250, Australia",4.0,COLAC
The Union Club Hotel Colac,"110 Murray St, Colac VIC 3250, Australia",3.7,COLAC
Lake Colac Caravan Park,"51 Fyans St, Colac VIC 3250, Australia",4.1,COLAC
Colac Murrays Hill B&B accommodation,"125 Colac-Forrest Rd, Colac East VIC 3250, Australia",3.8,COLAC
Colac Otway Caravan and Cabin Park,"490 Princes Hwy, Colac West VIC 3250, Australia",4.2,COLAC
Royal Mail Hotel Birregurra,"49 Main St, Birregurra VIC 3242, Australia",4.0,COLAC
Coragulac House,"895 Corangamite Lake Rd, Coragulac VIC 3249, Australia",5.0,COLAC
Maids Quarters Coragulac House Cottages,"895 Corangamite Lake Rd, Coragulac VIC 3249, Australia",5.0,COLAC
Tarndie,"37 Roseneath Rd, Warncoort VIC 3243, Australia",4.8,COLAC
Monash Cottage - Coragulac House Cottages,"895 Corangamite Lake Rd, Coragulac VIC 3249, Australia",4.6,COLAC
Harvest Birregurra Bed & Breakfast,"72 Beal St, Birregurra VIC 3242, Australia",5.0,COLAC
Tarndwarncoort,"37 Roseneath Rd, Warncoort VIC 3243, Australia",0.0,COLAC
Elliminook Homestead,"585 Warncoort-Birregurra Rd, Birregurra VIC 3242, Australia",4.0,COLAC
Forrest Guesthouse,"16 Grant St, Forrest VIC 3236, Australia",4.9,COLAC
Forrest Caravan Park/ The Wonky Stables Holiday Park,"1 Station St, Forrest VIC 3236, Australia",3.5,COLAC
Brae Restaurant,"4285 Cape Otway Rd, Birregurra VIC 3242, Australia",4.5,COLAC
Gellibrand River Gallery,"14 Main Rd, Gellibrand VIC 3239, Australia",4.0,COLAC
Camperdown Cascade Motel,"311 Manifold St, Camperdown VIC 3260, Australia",4.1,CAMPERDOWN
Manifold Motor Inn,"295 Manifold St, Camperdown VIC 3260, Australia",4.6,CAMPERDOWN
Amble Inn Motel,"71 Manifold St, Camperdown VIC 3260, Australia",3.2,CAMPERDOWN
The Camperdown Mill,"3-5 Curdie St, Camperdown VIC 3260, Australia",4.6,CAMPERDOWN
Hampden Hotel,"228 Manifold St, Camperdown VIC 3260, Australia",4.4,CAMPERDOWN
Leura Hotel,"175 Manifold St, Camperdown VIC 3260, Australia",4.0,CAMPERDOWN
Madden's Commercial Hotel,"115 Manifold St, Camperdown VIC 3260, Australia",3.9,CAMPERDOWN
Lakes and Craters Holiday Park,"220 Park Rd, Camperdown VIC 3260, Australia",4.2,CAMPERDOWN
