City,Council
Trida (3953),South Gippsland S  
Truganina (3029),Melton S  
Truganina (3029),Wyndham C  
Tubbut (3888),East Gippsland S  
Tudor (3596),Swan Hill RC  
Tuerong (3915),Mornington Peninsula S  
Tulkara (3478),Northern Grampians S  
Tullamarine (3043),Brimbank C  
Tullamarine (3043),Hume C  
Tullamarine (3043),Moreland C  
Tungamah (3728),Moira S  
Turoar (3546),Swan Hill RC  
Turriff (3488),Yarriambiack S  
Turriff East (3488),Buloke S  
Turtons Creek (3960),South Gippsland S  
Tutye (3490),Mildura RC  
Tyaak (3658),Mitchell S  
Tyabb (3913),Mornington Peninsula S  
Tyers (3844),Latrobe C  
Tylden (3444),Hepburn S  
Tylden (3444),Macedon Ranges S  
Tylden South (3444),Hepburn S  
Tynong (3813),Cardinia S  
Tynong North (3813),Cardinia S  
Tyntynder (3586),Swan Hill RC  
Tyntynder South (3586),Swan Hill RC  
Tyrendarra (3285),Glenelg S  
Tyrendarra (3285),Moyne S  
Tyrendarra East (3285),Moyne S  
Tyrrell (3533),Buloke S  
Tyrrell (3533),Swan Hill RC  
Tyrrell Downs (3533),Buloke S  
Tysons Reef (3550),Greater Bendigo C  
,
,
,
Ullina (3370),Hepburn S  
Ullswater (3318),West Wimmera S  
Ultima (3544),Swan Hill RC  
Ultima East (3544),Swan Hill RC  
Ulupna (3641),Moira S  
Undera (3629),Greater Shepparton C  
Underbool (3509),Mildura RC  
Uplands (3900),East Gippsland S  
Upotipotpon (3669),Strathbogie S  
Upper Ferntree Gully (3156),Knox C  
Upper Ferntree Gully (3156),Yarra Ranges S  
Upper Gundowring (3691),Alpine S  
Upper Plenty (3756),Mitchell S  
Upper Ryans Creek (3673),Benalla RC  
Upton Hill (3664),Strathbogie S  
Upwey (3158),Yarra Ranges S  
,
,
,
Valencia Creek (3860),Wellington S  
Vasey (3407),Southern Grampians S  
Vaughan (3451),Mount Alexander S  
Vectis (3401),Horsham RC  
Ventnor (3922),Bass Coast S  
Venus Bay (3956),South Gippsland S  
Vermont (3133),Maroondah C  
Vermont (3133),Whitehorse C  
Vermont South (3133),Whitehorse C  
Vervale (3814),Cardinia S  
Vesper (3833),Baw Baw S  
Victoria Point (3294),Sthn Grampians S  
Victoria Valley (3294),Sthn Grampians S  
Viewbank (3084),Banyule C  
Vinifera (3591),Swan Hill RC  
Violet Town (3669),Greater Shepparton C  
Violet Town (3669),Strathbogie S  
Vite Vite (3325),Corangamite S  
Vite Vite North (3325),Corangamite S  
,
,
,
W Tree (3885),East Gippsland S  
Waaia (3637),Moira S  
Waanyarra (3551),Loddon S  
Waarre (3269),Corangamite S  
Wabonga (3678),Wangaratta RC  
Waggarandall (3646),Moira S  
Wahgunyah (3687),Indigo S  
Wahring (3608),Strathbogie S  
Wail (3401),Horsham RC  
Wairewa (3887),East Gippsland S  
Waitchie (3544),Swan Hill RC  
Wal Wal (3381),Northern Grampians S  
Waldara (3678),Wangaratta RC  
Walhalla (3825),Baw Baw S  
Walhalla (3825),Wellington S  
Walhalla East (3825),Wellington S  
Walkerville (3956),South Gippsland S  
Walkerville South (3956),Sth Gippsland S  
Wallace (3352),Moorabool S  
Wallacedale (3303),Glenelg S  
Wallacedale (3303),Moyne S  
Wallagaraugh (3891),East Gippsland S  
Wallaloo (3381),Northern Grampians S  
Wallaloo East (3381),Nthn Grampians S  
Wallan (3756),Mitchell S  
Wallinduc (3351),Golden Plains S  
Wallington (3221),Greater Geelong C  
Wallup (3401),Yarriambiack S  
Walmer (3463),Mount Alexander S  
Walpa (3875),East Gippsland S  
Walpeup (3507),Mildura RC  
Walwa (3709),Towong S  
Wanalta (3612),Campaspe S  
Wandana Heights (3216),Gr Geelong C  
Wandella (3579),Gannawarra S  
Wandiligong (3744),Alpine S  
Wandin East (3139),Yarra Ranges S  
Wandin North (3139),Yarra Ranges S  
Wando Bridge (3312),Glenelg S  
Wando Vale (3312),Glenelg S  
Wando Vale (3312),Southern Grampians S  
Wandong (3758),Mitchell S  
Wandown (3549),Swan Hill RC  
Wangandary (3678),Benalla RC  
Wangandary (3678),Wangaratta RC  
Wangarabell (3891),East Gippsland S  
Wangaratta (3676),Wangaratta RC  
Wangaratta East (3678),Wangaratta RC  
Wangaratta North (3678),Wangaratta RC  
Wangaratta South (3678),Wangaratta RC  
Wangoom (3279),Moyne S  
Wannon (3301),Southern Grampians S  
Wantirna (3152),Knox C  
Wantirna South (3152),Knox C  
Waranga (3616),Campaspe S  
Waranga (3616),Greater Shepparton C  
Waranga Shores (3612),Campaspe S  
Waratah Bay (3959),South Gippsland S  
Warburton (3799),Yarra Ranges S  
Warburton East (3799),Yarra Ranges S  
Wareek (3465),Central Goldfields S  
Wareek (3465),Pyrenees S  
Wargan (3505),Mildura RC  
Warmur (3482),Buloke S  
Warncoort (3243),Colac Otway S  
Warne (3530),Buloke S  
Warneet (3980),Casey C  
Warrabkook (3286),Moyne S  
Warracknabeal (3393),Yarriambiack S  
Warragul (3820),Baw Baw S  
Warragul South (3821),Baw Baw S  
Warragul West (3821),Baw Baw S  
Warrak (3377),Ararat RC  
Warrandyte (3113),Manningham C  
Warrandyte North (3113),Nillumbik S  
Warrandyte South (3134),Manningham C  
Warranwood (3134),Maroondah C  
Warrayure (3301),Southern Grampians S  
Warrenbayne (3670),Benalla RC  
Warrenheip (3352),Ballarat C  
Warrenheip (3352),Moorabool S  
Warrenmang (3478),Pyrenees S  
Warrion (3249),Colac Otway S  
Warrnambool (3280),Moyne S  
Warrnambool (3280),Warrnambool C  
Warrock (3312),Glenelg S  
Warrong (3283),Moyne S  
Wartook (3401),Horsham RC  
Wartook (3401),Northern Grampians S  
Watchem (3482),Buloke S  
Watchem West (3482),Buloke S  
Watchupga (3485),Buloke S  
Waterford (3862),Wellington S  
Waterford Park (3658),Mitchell S  
Waterholes (3875),East Gippsland S  
Waterloo (3373),Pyrenees S  
Waterways (3195),Kingston C  
Watsonia (3087),Banyule C  
Watsonia North (3087),Banyule C  
Watsons Creek (3097),Nillumbik S  
Wattle Bank (3995),Bass Coast S  
Wattle Creek (3384),Northern Grampians S  
Wattle Creek (3384),Pyrenees S  
Wattle Flat (3352),Ballarat C  
Wattle Flat (3352),Hepburn S  
Wattle Flat (3352),Moorabool S  
Wattle Glen (3096),Nillumbik S  
Wattle Hill (3237),Corangamite S  
Wattle Park (3128),Whitehorse C  
Waubra (3352),Hepburn S  
Waubra (3352),Pyrenees S  
Waurn Ponds (3221),Greater Geelong C  
Waygara (3888),East Gippsland S  
Weatherboard (3352),Ballarat C  
Wedderburn (3518),Loddon S  
Wedderburn Junction (3518),Loddon S  
Wee Wee Rup (3568),Gannawarra S  
Weeaproinah (3237),Colac Otway S  
Weeragua (3890),East Gippsland S  
Weering (3251),Colac Otway S  
Weerite (3260),Corangamite S  
Wehla (3518),Loddon S  
Wellsford (3551),Greater Bendigo C  
Welshmans Reef (3462),Mt Alexander S  
Welshpool (3966),South Gippsland S  
Wemen (3549),Swan Hill RC  
Wendouree (3355),Ballarat C  
Wendouree Village (3355),Ballarat C  
Wensleydale (3241),Surf Coast S  
Werneth (3352),Corangamite S  
Werneth (3352),Golden Plains S  
Werona (3364),Hepburn S  
Werona (3364),Mount Alexander S  
Werribee (3030),Wyndham C  
Werribee South (3030),Wyndham C  
Werrimull (3496),Mildura RC  
Wesburn (3799),Yarra Ranges S  
West Creek (3992),Bass Coast S  
Westbury (3825),Baw Baw S  
Westby (3579),Gannawarra S  
Westmeadows (3049),Hume C  
Westmere (3351),Ararat RC  
Wharparilla (3564),Campaspe S  
Wheatsheaf (3461),Hepburn S  
Wheelers Hill (3150),Monash C  
Whipstick (3556),Greater Bendigo C  
Whirily (3483),Buloke S  
White Hills (3550),Greater Bendigo C  
Whiteheads Creek (3660),Mitchell S  
Whitelaw (3950),South Gippsland S  
Whitfield (3733),Wangaratta RC  
Whitlands (3678),Wangaratta RC  
Whittington (3219),Greater Geelong C  
Whittlesea (3757),Whittlesea C  
Whoorel (3243),Colac Otway S  
Whorouly (3735),Wangaratta RC  
Whorouly East (3735),Wangaratta RC  
Whorouly South (3735),Wangaratta RC  
Whroo (3612),Campaspe S  
Whroo (3612),Strathbogie S  
Wickliffe (3379),Ararat RC  
Wilby (3728),Moira S  
Wild Dog Valley (3953),South Gippsland S  
Wildwood (3429),Hume C  
Wilkur (3393),Buloke S  
Wilkur (3393),Yarriambiack S  
Willangie (3485),Buloke S  
Willatook (3283),Moyne S  
Willaura (3379),Ararat RC  
Willenabrina (3393),Yarriambiack S  
Williams Landing (3027),Wyndham C  
Williamstown (3016),Hobsons Bay C  
Williamstown North (3016),Hobsons Bay C  
Willow Grove (3825),Baw Baw S  
Willowmavin (3764),Mitchell S  
Willung (3847),Wellington S  
Willung South (3847),Wellington S  
Wilsons Hill (3515),Greater Bendigo C  
Wilsons Promontory (3960),Sth Gippsland S  
Wimbleton Heights (3922),Bass Coast S  
Winchelsea (3241),Colac Otway S  
Winchelsea (3241),Surf Coast S  
Winchelsea South (3241),Surf Coast S  
Windermere (3352),Ballarat C  
Windsor (3181),Port Phillip C  
Windsor (3181),Stonnington C  
Wingan River (3891),East Gippsland S  
Wingeel (3321),Colac Otway S  
Wingeel (3321),Golden Plains S  
Winjallok (3380),Northern Grampians S  
Winlaton (3585),Swan Hill RC  
Winnambool (3546),Swan Hill RC  
Winnap (3304),Glenelg S  
Winnindoo (3858),Wellington S  
Winslow (3281),Moyne S  
Winton (3673),Benalla RC  
Winton North (3673),Benalla RC  
Wirrate (3608),Strathbogie S  
Wiseleigh (3885),East Gippsland S  
Wodonga (3690),Wodonga RC  
Wodonga West (3690),Wodonga RC  
Wollert (3750),Whittlesea C  
Wombat Creek (3888),East Gippsland S  
Wombelano (3409),West Wimmera S  
Won Wron (3971),Wellington S  
Wonga (3960),South Gippsland S  
Wonga Park (3115),Manningham C  
Wonga Park (3115),Maroondah C  
Wongarra (3221),Colac Otway S  
Wongungarra (3862),Alpine S  
Wongungarra (3862),Wellington S  
Wonnangatta (3737),Alpine S  
Wonthaggi (3995),Bass Coast S  
Wonthaggi North (3995),Bass Coast S  
Wonwondah (3401),Horsham RC  
Wonyip (3962),South Gippsland S  
Wonyip (3962),Wellington S  
Wood Wood (3596),Swan Hill RC  
Woodend (3442),Macedon Ranges S  
Woodend North (3442),Macedon Ranges S  
Woodfield (3715),Mansfield S  
Woodford (3281),Moyne S  
Woodford (3281),Warrnambool C  
Woodglen (3875),East Gippsland S  
Woodhouse (3294),Southern Grampians S  
Woodleigh (3945),Bass Coast S  
Woods Point (3723),Mansfield S  
Woods Point (3723),Murrindindi S  
Woods Point (3723),Wellington S  
Woodside (3874),Wellington S  
Woodside Beach (3874),Wellington S  
Woodside North (3874),Wellington S  
Woodstock (3751),Whittlesea C  
Woodstock On Loddon (3551),Loddon S  
Woodstock West (3463),Loddon S  
Woodvale (3556),Greater Bendigo C  
Woohlpooer (3314),Southern Grampians S  
Wool Wool (3249),Colac Otway S  
Wool Wool (3249),Corangamite S  
Woolamai (3995),Bass Coast S  
Woolenook (3860),Wellington S  
Woolshed (3747),Indigo S  
Woolshed Flat (3518),Loddon S  
Woolsthorpe (3276),Moyne S  
Woomelang (3485),Yarriambiack S  
Wooragee (3747),Indigo S  
Woorarra (3962),Wellington S  
Woorarra West (3960),South Gippsland S  
Woori Yallock (3139),Yarra Ranges S  
Woorinen (3589),Swan Hill RC  
Woorinen North (3589),Swan Hill RC  
Woorinen South (3588),Swan Hill RC  
Woorndoo (3272),Ararat RC  
Woorndoo (3272),Moyne S  
Wooroonook (3525),Buloke S  
Woosang (3518),Buloke S  
Woosang (3518),Loddon S  
Wootong Vale (3315),Sthn Grampians S  
Worrowing (3858),Wellington S  
Wrathung (3860),Wellington S  
Wrixen (3860),Wellington S  
Wroxham (3891),East Gippsland S  
Wuk Wuk (3875),East Gippsland S  
Wulgulmerang (3885),East Gippsland S  
Wulgulmerang East (3885),East Gipps S  
Wulgulmerang West (3885),East Gippsl S  
Wunghnu (3635),Moira S  
Wurdiboluc (3241),Surf Coast S  
Wurruk (3850),Wellington S  
Wy Yung (3875),East Gippsland S  
Wycheproof (3527),Buloke S  
Wycheproof South (3527),Buloke S  
Wychitella (3525),Loddon S  
Wychitella North (3525),Loddon S  
Wye River (3221),Colac Otway S  
Wyelangta (3237),Colac Otway S  
Wyndham Vale (3030),Wyndham C  
Wyperfield National Park (3424),Yarriambiack S  
,
Wyuna (3620),Campaspe S  
Wyuna (3620),Greater Shepparton C  
Wyuna East (3620),Campaspe S  
,
,
,
Yaapeet (3424),Yarriambiack S  
Yabba North (3646),Moira S  
Yabba South (3646),Moira S  
Yackandandah (3749),Indigo S  
Yalca (3637),Moira S  
Yallambie (3085),Banyule C  
Yalla-Y-Poora (3378),Ararat RC  
Yalla-Y-Poora (3378),Pyrenees S  
Yallourn (3825),Latrobe C  
Yallourn North (3825),Baw Baw S  
Yallourn North (3825),Latrobe C  
Yalmy (3885),East Gippsland S  
Yambuk (3285),Moyne S  
Yambuna (3621),Campaspe S  
Yan Yean (3755),Nillumbik S  
Yan Yean (3755),Whittlesea C  
Yanac (3418),Hindmarsh S  
Yanakie (3960),South Gippsland S  
Yando (3537),Loddon S  
Yandoit (3461),Hepburn S  
Yandoit Hills (3461),Mount Alexander S  
Yangery (3283),Moyne S  
Yangery (3283),Warrnambool C  
Yangoura (3858),Wellington S  
Yannathan (3981),Cardinia S  
Yapeen (3451),Mount Alexander S  
Yarck (3719),Murrindindi S  
Yarpturk (3283),Moyne S  
Yarra Glen (3775),Yarra Ranges S  
Yarra Junction (3797),Yarra Ranges S  
Yarraberb (3516),Loddon S  
Yarragon (3823),Baw Baw S  
Yarragon South (3823),Baw Baw S  
Yarram (3971),Wellington S  
Yarrambat (3091),Nillumbik S  
Yarraville (3013),Maribyrnong C  
Yarrawalla (3575),Loddon S  
Yarrawonga (3730),Moira S  
Yarroweyah (3644),Moira S  
Yarrunga (3677),Wangaratta RC  
Yarto (3396),Yarriambiack S  
Yatchaw (3301),Southern Grampians S  
Yawong Hills (3478),Buloke S  
Yea (3717),Murrindindi S  
Yellingbo (3139),Yarra Ranges S  
Yelta (3505),Mildura RC  
Yendon (3352),Moorabool S  
Yeo (3249),Colac Otway S  
Yeodene (3249),Colac Otway S  
Yering (3770),Yarra Ranges S  
Yeungroon (3525),Buloke S  
Yeungroon East (3525),Buloke S  
Yeungroon East (3525),Loddon S  
Yielima (3638),Moira S  
Yinnar (3869),Latrobe C  
Yinnar South (3869),Latrobe C  
York Plains (-),Northern Grampians S  
Youanmite (3646),Moira S  
Youarang (3728),Moira S  
Yulecart (3301),Southern Grampians S  
Yundool (3727),Moira S  
Yuroke (3063),Hume C  
Yuulong (3237),Colac Otway S  
Yuulong (3237),Corangamite S  
,
,
,
Zeerust (3634),Greater Shepparton C  
Zumsteins (3401),Northern Grampians S  
