Hotel_name,Hotel_city,Hotel_price
"Mt Buller Prime Location, Ski in Ski Out",Mt Buller,A$535 / night
Studio Apartment | Ideal for couples and individuals,Ballarat,A$113 / night
CONVENIENT & MODERN 1 BED APARTMENT DOCKLANDS,Melbourne,A$345 / night
A Serene & Cozy CBD Suite near Southern Cross,Melbourne,A$579 / night
"Bradman · ""Bradman"" Modern Style a Walk to MCG, Swan St, CBD",Melbourne,A$458 / night
One bedroom in Neo with city balcony!,Melbourne,A$138 / night
"The Barkly, on the fringe of Melbourne",Melbourne,A$202 / night
Geilo Snow Holiday Unit,Falls Creek,A$330 / night
Mansi on Raymond 2 Bedroom Townhouse,Shire of Wellington,A$338 / night
Homely Albert Park Suite Next to Grand Prix Circuit,Melbourne,A$406 / night
Peaceful & Cosy home in werribee  south.,Victoria,A$85 / night
Stay in the heart of the action,Melbourne,A$217 / night
Fantastic 2 Bedroom Apartment In Melbourne's Southbank,Melbourne,A$199 / night
Stylist 1bed1bath apartment@west melbourne,Melbourne,A$188 / night
By George! Super cool  St Kilda loft,Melbourne,A$168 / night
Stylish & Sunny with house like proportions,Melbourne,A$183 / night
Collins Street – Central CBD - Linens included,Melbourne,A$99 / night
Peel Cottage Bed & Breakfast,Ballarat,A$165 / night
Daysend Cottages - Merrijig,Merrijig,A$378 / night
A Modern & Cozy Suite with Beautiful City Views,Melbourne,A$587 / night
Comfortable and quiet in fantastic location and easy walk to beach and shops.,Melbourne,A$119 / night
Melbourne short stay- Burwood Deakin Uni墨尔本民宿-迪肯大学Burwood,Melbourne,A$61 / night
"Central, Clean and Convenient Unlimited WiFi",Melbourne,A$55 / night
Modern And Trendy 2 Bedroom Apartment In Lovely Southbank,Melbourne,A$294 / night
Modern 2 bed apartment in trendy Collingwood,Melbourne,A$233 / night
Relax in a clean and modern studio in the heart of St Kilda,Melbourne,A$176 / night
"Albert Park: close to everything, yet quiet and relaxing",Melbourne,A$127 / night
"master bedroom with ensuite in frankston walk to cbd, updated bathroom & kitchen",Frankston,A$121 / night
The Andre Jnr - The Quintessential Loft Apartment,Melbourne,A$398 / night
Santa Monica Lodge Apartments,Melbourne,A$199 / night
For the discerning traveller who appreciates the best quality and style!,Melbourne,A$267 / night
"Sanctuary · ""Sanctuary"" Resort-Style on the Banks of the Yarra",Melbourne,A$259 / night
Views and hotel-style extras in a great location,Melbourne,A$187 / night
Chestnut Daylesford Centrally Located,Daylesford,A$328 / night
"The Harry, Saint Kilda",Melbourne,A$732 / night
The Eyrie at elevation652 at Mt Bellevue,Rural City of Wangaratta,A$307 / night
Apartments Of Waverley - 2 Bedroom,Melbourne,A$261 / night
Holiday/Busniess trip家庭旅行或商务出差的舒适整套公寓entire APT Free wifi and parking,Melbourne,A$136 / night
Loft Apartment Bond Quarter,Melbourne,A$233 / night
"Superb St Kilda Location, 2BR Renovated Art Deco, Family-Friendly, Quiet Street",Melbourne,A$280 / night
City apartment in the heart of the city at an affordable price,Melbourne,A$98 / night
Apartment 45m²,Melbourne,A$153 / night
Docklands 1201p 2bed 1bath Water View,Melbourne,A$304 / night
Quiet and private spacious 1 bedroom in prestigious Hawthorn street,Melbourne,A$114 / night
Saint Inez ~ Beautiful Cottage ~ Daylesford/Hepburn Springs,Daylesford,A$383 / night
Frogsong Strawbale Cottage BLUE ID p7318970,Goughs Bay,A$119 / night
Prom Mill Cottages - Darby. Only 3 mins to the Prom gate.,Yanakie,A$293 / night
"Delicious food, we are the perfect choice",Melbourne,"A$1,133 / night"
Country Escape in Metcalfe,Shire of Mount Alexander,"A$1,057 / night"
Cute Cosy Comfortable Apartment,Melbourne,A$131 / night
"☆ Balcony Retreat w/50"" TV & Netflix! ☆",Melbourne,A$291 / night
Sleek City Haven With Pool and Gym access,Melbourne,A$127 / night
Penthouse in Northcote,Melbourne,A$203 / night
M-City 2BR/2BR Self Service Apartment,Melbourne,A$171 / night
Vintage Heaven - located at Healesville,Healesville,A$210 / night
The Sophia - A Class of Its Own,Melbourne,A$847 / night
Modern 1-BR Apartment + Seaview!,Melbourne,A$157 / night
Alpino Apartments Marysville,Marysville (Victoria),A$276 / night
2 Bedroom Unit Opposite Beautiful Lake Weeroona,Bendigo,A$176 / night
"""Cenotaph"" - Pearl Apartments",Melbourne,A$146 / night
Balwyn Views Apartments,Melbourne,A$189 / night
Two Bedroom Apartment Olinda - B2,Melbourne,A$264 / night
Village BELLE Stunning home in Yarraville Village,Melbourne,A$282 / night
