,Council,City
587,IndigoS,Carlyle
588,GlenEiraC,Carnegie
589,PyreneesS,Carngham
590,MeltonS,CarolineSprings
591,ColacOtwayS,Carpendeit
592,CorangamiteS,Carpendeit
593,WellingtonS,Carrajung
594,WellingtonS,CarrajungLower
595,WellingtonS,CarrajungSouth
596,AraratRC,Carranballac
597,PyreneesS,Carranballac
598,BulokeS,Carron
599,KingstonC,Carrum
600,FrankstonC,CarrumDowns
601,MilduraRC,Carwarp
602,GlenelgS,Cashmore
603,EastGippslandS,Cassilis
604,MurrindindiS,Castella
605,GlenelgS,Casterton
606,WodongaRC,CastleCreek
607,SwanHillRC,CastleDonnington
608,WellingtonS,Castleburn
609,MountAlexanderS,Castlemaine
610,CardiniaS,Catani
611,AraratRC,Cathcart
612,MurrindindiS,Cathkin
613,LoddonS,Catumnal
614,GlenEiraC,Caulfield
615,GlenEiraC,CaulfieldEast
616,GlenEiraC,CaulfieldNorth
617,GlenEiraC,CaulfieldSouth
618,MurrindindiS,Caveat
619,SouthernGrampiansS,Cavendish
620,GreaterGeelongC,Ceres
621,MonashC,Chadstone
622,EastGippslandS,ChandlersCreek
623,BallaratC,ChapelFlat
624,ColacOtwayS,ChappleVale
625,CorangamiteS,ChappleVale
626,WestWimmeraS,Charam
627,IndigoS,Charleroi
628,BulokeS,Charlton
629,AraratRC,Chatsworth
630,MoyneS,Chatsworth
631,KingstonC,Chelsea
632,KingstonC,ChelseaHeights
633,BaysideC,Cheltenham
634,KingstonC,Cheltenham
635,PyreneesS,Chepstowe
636,MacedonRangesS,Cherokee
637,WellingtonS,Cherrilong
638,NorthernGrampiansS,Cherrypool
639,SouthernGrampiansS,Cherrypool
640,WangarattaRC,Cheshunt
641,WangarattaRC,CheshuntSouth
642,BenallaRC,ChesneyVale
643,GlenelgS,Chetwynd
644,WestWimmeraS,Chetwynd
645,MurrindindiS,Cheviot
646,MountAlexanderS,Chewton
647,MtAlexanderS,ChewtonBushlands
648,BawBawS,Childers
649,SwanHillRC,Chillingollah
650,IndigoS,Chiltern
651,IndigoS,ChilternValley
652,SwanHillRC,Chinangin
653,SwanHillRC,Chinkapook
654,MacedonRangesS,Chintin
655,YarraRangesS,ChirnsidePark
656,BulokeS,Chirrup
657,CorangamiteS,Chocolyn
658,WellingtonS,Christies
659,NillumbikS,ChristmasHills
660,YarraRangesS,ChumCreek
661,LatrobeC,Churchill
662,BassCoastS,ChurchillIsland
663,PyreneesS,Chute
664,MooraboolS,Clarendon
665,MooraboolS,Claretown
666,KingstonC,Clarinda
667,HumeC,Clarkefield
668,MacedonRangesS,Clarkefield
669,MooraboolS,ClarkesHill
670,MonashC,Clayton
671,KingstonC,ClaytonSouth
672,HorshamRC,ClearLake
673,CardiniaS,Clematis
674,YarraRangesS,Clematis
675,EastGippslandS,CliftonCreek
676,YarraC,CliftonHill
677,GreaterGeelongC,CliftonSprings
678,MitchellS,Clonbinane
679,GlenelgS,CloverFlat
680,SouthernGrampiansS,CloverFlat
681,BawBawS,Cloverlea
682,EastGippslandS,ClubTerrace
683,HepburnS,Clunes
684,CaseyC,Clyde
685,CaseyC,ClydeNorth
686,WellingtonS,Clydebank
687,HepburnS,Clydesdale
688,BawBawS,Coalville
689,GlenEiraC,Coatesville
690,WellingtonS,Cobains
691,MacedonRangesS,Cobaw
692,EastGippslandS,Cobbannah
693,EastGippslandS,Cobberas
694,CorangamiteS,Cobden
695,MoiraS,Cobram
696,MoiraS,CobramEast
697,CorangamiteS,Cobrico
698,AlpineS,Cobungra
699,EastGippslandS,Cobungra
700,DarebinC,Coburg
701,MorelandC,Coburg
702,DarebinC,CoburgNorth
703,MorelandC,CoburgNorth
704,SwanHillRC,Cocamba
705,LoddonS,CochranesCreek
706,CardiniaS,Cockatoo
707,WyndhamC,Cocoroc
708,MoyneS,Codrington
709,BallaratC,CoghillsCreek
710,GannawarraS,Cohuna
711,MooraboolS,Coimadai
712,BulokeS,Cokum
713,ColacOtwayS,Colac
714,TowongS,ColacColac
715,ColacOtwayS,ColacEast
716,ColacOtwayS,ColacWest
717,CampaspeS,Colbinabbin
718,MooraboolS,Colbrook
719,YarraRangesS,Coldstream
720,SouthernGrampiansS,Coleraine
721,MilduraRC,Colignan
722,YarraC,Collingwood
723,GreaterSheppartonC,Colliver
724,EastGippslandS,Combienbar
725,NorthernGrampiansS,Concongella
726,GlenelgS,Condah
727,MoyneS,CondahSwamp
728,GreaterSheppartonC,Congupna
729,GreaterGeelongC,Connewarre
730,SurfCoastS,Connewarre
731,WestWimmeraS,Connewirrecoo
732,SouthernGrampiansS,Coojar
733,HumeC,Coolaroo
734,GreaterSheppartonC,Cooma
735,GreaterSheppartonC,Coomboona
736,HepburnS,Coomoora
737,WellingtonS,Coongulla
738,BulokeS,CoonooerBridge
739,LoddonS,CoonooerBridge
740,NthnGrampiansS,CoonooerBridge
741,NthnGrampiansS,CoonooerWest
742,BawBawS,CoopersCreek
743,CorangamiteS,Cooriemungle
744,BulokeS,CopeCope
745,NorthernGrampiansS,CopeCope
746,CardiniaS,CoraLynn
747,BulokeS,Corack
748,BulokeS,CorackEast
749,ColacOtwayS,Coragulac
750,AlpineS,CoralBank
751,GoldenPlainsS,Corindhap
752,BassCoastS,Corinella
753,GreaterGeelongC,Corio
754,GlenelgS,Corndale
755,CampaspeS,Cornella
756,IndigoS,Cornishtown
757,BassCoastS,CoronetBay
758,CampaspeS,Corop
759,ColacOtwayS,Cororooke
760,EastGippslandS,Corringle
761,TowongS,Corryong
762,ColacOtwayS,Corunnun
763,GreaterSheppartonC,Cosgrove
764,GreaterSheppartonC,CosgroveSouth
765,GreaterBendigoC,Costerfield
766,BoroondaraC,Cotham
767,CentralGoldfieldsS,Cotswold
768,NillumbikS,CottlesBridge
769,WellingtonS,Cowa
770,MilduraRC,Cowangie
771,BassCoastS,Cowes
772,CorangamiteS,CowleysCreek
773,LatrobeC,Cowwarr
774,WellingtonS,Cowwarr
775,CentralGoldfieldsS,Craigie
776,HumeC,Craigieburn
777,CaseyC,Cranbourne
778,CaseyC,CranbourneEast
779,CaseyC,CranbourneNorth
780,CaseyC,CranbourneSouth
781,CaseyC,CranbourneWest
782,BenallaRC,CreekJunction
783,MansfieldS,CreekJunction
784,StrathbogieS,CreekJunction
785,CampaspeS,CreekView
786,StrathbogieS,Creighton
787,StrathbogieS,CreightonsCreek
788,YarraC,Cresmorne
