,Title,City
273,"Railway, Kyneton",Baynton St 
274,"Lancefield Hotel & Store, Mooroopna",Mooroopna 
275,"Railway, Kyneton",Baynton St 
276,"Golden Fleece, Charlton",Charlton 
277,"Royal, Kerang",Kerang 
278,"Shamrock, Dandenong",Dandenong 
279,"Commercial, Birchip",Birchip 
280,"Albion, Woorak",Woorak 
281,"Halfway House, Queenscliff",Queenscliff & Geelong 
282,"Hodges Belle Vue, Daylesford",Daylesford 
283,"Commercial, Jung",Jung Jung 
284,"Fleece Inn, Condah",Condah 
285,"Fleece Inn, Green Hills",Green Hills 
286,"Delatite, Mansfield",Mansfield 
287,"Cumberland & Durham, Ballarat",Bridge St 
288,"Harrow, Harrow",Harrow 
289,"Inkerman, Ballarat",Armstrong St 
290,"Pioneer, Ballarat",Humffray St 
291,"Albion, Kyneton",Mollison St 
292,"Ross Bridge, Rossbridge",Ross Bridge 
293,"Reefs, Stawell",Stawell 
294,"Sir William Wallace, Ballarat",Peel St 
295,"Copenhagen, Ballarat",Sturt St 
296,"Phoenix Park, Ballarat",Lydiard St 
297,"White Hart, Longwood",Longwood 
298,"Freemasons, Ballan",Inglis St 
299,"Woolpack, Bacchus Marsh",Bacchus Marsh 
300,"East Ballan, Ballan",Ballan 
301,"Nar Nar Goon, Nar Nar Goon",Nar Nar Goon 
302,"Post Office, Ballarat",Main Rd 
303,"Ballarat, Ballarat",Lydiard St 
304,"New York, Ballarat",Main Rd 
305,"Port Albert, Port Albert",Port Albert 
306,"Cornish Arms, Ballarat",Doveton St 
307,"Eureka, Ballarat",Otway St 
308,"Ripon, Skipton",Skipton 
309,"Bakery Hill, Ballarat",Humffray St 
310,"Royal Oak, Ballarat",Peel St 
311,"Commercial, Stawell",Stawell 
312,"Eureka, Ballarat",Armstrong St 
313,"Albion, Bethanga Upper",Bethanga Upper 
314,"Town Hall, Ballarat",Main Rd 
315,"Shannon, Ballan",Inglis St 
316,"Cardiff Arms, Sebastopol",Ballarat Sebastopol 
317,"Quartz Miners, Stawell",Stawell 
318,"Junction, Barramunga",Barramunga 
319,"Frankston, Mornington",Schnapper Point 
320,"Seven Creeks Hotel & Store, Kialla West",Euroa Kialla West 
321,"St Leonards, St Leonards",St Leonards 
322,"Club, Horsham",Horsham 
323,"Plank Road, Ballarat",Main Rd 
324,"Golden Age & Hall, Fiery Creek",Beaufort Fiery Creek Diggings 
325,"Council Club Hotel & St Georges Hall, Wangaratta",Murphy St 
326,"Council Club Hotel & St Georges Hall, Wangaratta",Murphy St 
327,"Excelsior, Ballarat",Ligar St 
328,"Smiths, Ballarat",Peel St 
329,"Royal, Wangaratta",Wangaratta 
330,"Moorooopna, Mooroopna",corner Finsborough & Elizabeth Sts 
331,"Royal Mail, Mooroopna",corner Main & Archer Sts 
332,"Crown, Kyneton",High St 
333,"Queens Head, Lockwood",Lockwood 
334,"Rokewood, Rokewood",Rokewood 
335,"Benalla, Benalla",corner Bridge & Nun Sts 
336,"Benalla, Benalla",corner Bridge & Nun Sts 
337,"Benalla, Benalla",corner Bridge & Nun Sts 
338,"Benalla, Benalla",corner Bridge & Nun Sts 
339,"Star, Creswick",Creswick Clarkes Flat 
340,"Bay View, Frankston",Frankston 
341,"Streets, Ballarat",Skipton St 
342,"Euroa Inn, Euroa",Euroa 
343,"Somerset, Bannockburn",Bannockburn 
344,"Junction, Kyneton",Kyneton 
345,"Skipton, Skipton",Skipton 
346,"Tanswells, Beechworth",Ford St 
347,"Turf Club, Ballarat",MacArthur St 
348,"City of Hamburg, Ballarat",Main Rd 
349,"Rose of Australia, Long Gully",corner Mt Korong Rd & Daly St 
350,"National, Ballarat",Victoria St 
351,"Fleece Inn, Green Hills",Green Hills 
352,"Russell Square, Ballarat",Humffray St 
353,"Harp of Erin, Kyneton",Piper St 
354,"Fleece Inn, Condah",Condah 
355,"Criterion, Kyneton",Piper St 
356,"Commercial, Bealiba",Bealiba 
357,"Royal Standard, Linton",Suffolk St 
358,"Half-way House, Mount Clear",Mount Clear 
359,"Shamrock, Swan Hill",Swan Hill 
360,"Royal, Benalla",Benalla 
361,"Leura, Camperdown",Camperdown 
362,"Old Eglington, Ballarat",Victoria St 
363,"Wards Family, Ballarat",Main Rd 
364,"Rifle Butts, Ballarat",Lal Lal St 
365,"Dromana, Dromana",Dromana 
366,"Commercial, Queenscliff",Hesse St 
367,"Border Inn, Bacchus Marsh",Bacchus Marsh 
368,"Sportsmans Arms, Baringhup",Baringhup 
369,"Kilmore, Kilmore",Sydney St 
370,"Haymarket, Ballarat",Mair St 
371,"Council Club Hotel & St Georges Hall, Wangaratta",Murphy St 
372,"Miners Right, Creswick",Creswick Red Streak 
373,"Seven Star, Creswick",Creswick Clarkes Flat 
374,"Turf Club, Ballarat",MacArthur St 
375,"Cricketers Arms, Mooroopna",Main St 
376,"Macs, Glenthompson",Glen Thompson 
377,"White Horse, Ballarat",Humffray St 
378,"Lancefield Hotel & Store, Mooroopna",Mooroopna 
379,"Commercial, Mansfield",High St 
380,"National, Ballarat",Campbells Crescent 
381,"Brewers Arms, Ballarat",Creswick Rd 
382,"Asylum Hill, Ararat",Ararat 
383,"Victoria, Red Hill",Red Hill 
384,"Camp, Beaufort",Pratt St 
385,"Bontherambo Hotel & P O, Boorhaman",Boorhaman 
386,"Boorhaman, Boorhaman",Boorhaman 
387,"Lamberton Arms, Burrumbeet",Burrumbeet 
388,"Criterion, Castlemaine",corner Mostyn & Barker Sts 
389,"Telegraph, Charlton",Charlton 
390,"Blue Duck, Cobungra",Cobungra 
391,"Colbinabbin, Colbinabbin",Colbinabbin 
392,"Shades, Daylesford",Daylesford 
393,"Dederang, Dederang",Dederang 
394,"Royal, Devenish",Devenish 
395,"Oddfellows, Dunolly",Dunolly 
396,"Steam Packet, Echuca",Echuca 
397,"Steam Packet, Echuca",Echuca 
