Title,Location,Name,Relationship,Date,Source
"Halfway House Hotel Store & Post Office, Carron",Carron (Vic.),"Franklin, Frederick",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"British American, Maldon",Maldon (Vic.),"Friedlieb, Rudolph",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mansfield",High St (Mansfield Vic.),"Gardner, T J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Delatite, Mansfield",Mansfield (Vic.),"Gardner, T J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Northumberland, Ballarat",Sturt St (Ballarat Vic.),Gargan,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hodges Belle Vue, Daylesford",Daylesford (Vic.),Glenlon,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Pavilion, Ballarat",Havelock St (Ballarat Vic.),"Gooden, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ship Inn, Ballarat",Eyre St (Ballarat Vic.),"Gordon, W",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harp of Erin Hotel & Post Office, Bullengarook",Bullengarook (Vic.),"Gorman, William Sen",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Palace, Queenscliff",Queenscliff (Vic.),"Greenwood, Thomas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grouts, Ballarat",Victoria St (Ballarat Vic.),Grout,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Live & Let Live, Barkers Creek",Barkers Creek (Vic.),Harcourt,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Talbot, Barkers Creek",Barkers Creek (Vic.),Harcourt,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Kyneton",Mollison St (Kyneton Vic.),"Hardman, W R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Kyneton",Mollison St (Kyneton Vic.),Hardman,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Borough Boundary, Ballarat",Creswick Rd (Ballarat Vic.),"Hargraves, E",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Horse, Sebastian",Main St (Sebastian Vic.),"Harritable, Frank",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seven Creeks Hotel & Store, Kialla West",Euroa Kialla West (Vic.),"Hart, Henry",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harp of Erin, Merton",Merton ( Vic.,"Hartley, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Archies Creek",Archies Creek (Vic.),Hayes,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Alexandra, Ballarat",Sturt St (Ballarat Vic.),"Hazel, A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock Hotel & Store, Mooroopna",Mooroopna (Vic.),Healey,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"View Point, Kyneton",Kyneton (Vic.),"Heath, Tom",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Kyneton",corner Mollison & Yaldwin Sts (Kyneton Vic.),"Heffernan, Roger",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bute, Ballarat",Peel St (Ballarat Vic.),"Heinz, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Westbury, Westbury",Westbury (Vic.),"Hennessy, Mick",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Hickson,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Junction, Narrung",Narrung (Vic.),Higgins,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Selecters Arms, Brandy Creek",Brandy Creek (Vic.),"Higgs, Richard",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
